filename,title,description,altText,category
Berlin 1,Neon and Puddles ,"The wet pavement acts as a giant mirror for a hundred glowing windows. Ready for the night shift, even if only to watch the reflections dance. ","The glowing facade of the Friedrichstadt-Palast in Berlin at night, reflected in a wet, rain-slicked street. ",City Scale 
Berlin 2,Glass and Steel ,"The curvature of the Hauptbahnhof roof filters the gray light perfectly. A yellow-faced S-Bahn train pulls in, ready for commuters and drifters. ","Inside the glass-domed Berlin Hauptbahnhof, a red and yellow S-Bahn train arrives near commuters and Alstom signage. ",The Routine 
Berlin 3,Graffiti Pink Call ,Found this decommissioned phone booth holding secrets. Pink permanent marker on the receiver urges the next caller to make that confession. ,"A detailed street view of a metallic, graffiti-covered public phone booth on a cobbled Berlin street, focusing on a bright pink phone receiver with hand-written messages. ",Street Level 
Berlin 4,Dome by River ,"The Berlin Cathedral stands heavy under a flat, overcast sky. Its reflection is captured in the dark water, separated only by the stone bridge. ",A view across the Spree River in Berlin towards the turquoise-domed Berlin Cathedral (Berliner Dom) on an overcast day. ,City Scale 
Berlin 5,Stone and Scale ,"The sheer scale of the columns makes everyone else look like ants. A massive, classical entrance meant to humble you before you even see the art. Grey skies, gray stone. ","The classical portico of the Altes Museum in Berlin, viewed from below, with massive stone columns and people climbing wide steps. ",City Scale 
Berlin 6,Dome and Wire ,"The Berlin Cathedral, a masterpiece of green domes, is temporarily caught in a web of construction scaffolding. The gold crosses still catch the light above the mesh. The work never stops. ","The Berlin Cathedral (Berliner Dom) building facade and domes, heavily wrapped in modern metal scaffolding against an overcast sky. ",City Scale 
Berlin 7,Grief in Light ,"In the Neue Wache, a single, solitary statue of a mother and her dead son sits beneath a perfect oculus of light. Rain and light meet on the cold floor. A single rose is left on the wet stone. Silence in the stone chamber. ","The Käthe Kollwitz sculpture ""Mother with her Dead Son"" under a central skylight in the bare stone room of the Neue Wache memorial. ",Slices of History 
Berlin 8,Feet on History ,A frame of glass set directly into the cobblestones. Our modern trainers and boots surround the 'Empty Library' memorial on Bebelplatz. A silent reminder of what was burned right here. Our shadows are cast into the void below. ,"A glass panel memorial for the book burning set into the cobbled pavement, surrounded by the feet of visitors, with shadows visible on the surface. ",Slices of History 
Berlin 9,Words in Stone ,"Two heavy bronze plaques embedded in the ground, preserving words where books once burned. A permanent scar on the pavement to ensure the memory doesn't fade into the background. ","A top-down view of two bronze memorial plaques with German text set into a cobbled pavement, flanked by visitors' shoes. ",Slices of History 
Berlin 10,Brandenburg ,"The Brandenburg Gate emerges from the mist, indifferent to the drizzle. Crowds scatter across the vast square, tiny figures beneath the copper horses. ","The historic Brandenburg Gate in Berlin under a grey sky, with people walking across the wet, open plaza. ",Slices of History 
Berlin 11,Hotel Adlon ,"The Hotel Adlon stands imposing on the corner, all pale stone and oxidised green roofing. People drift past on the damp paving, catching a glimpse of a different world. ","The grand exterior of the Hotel Adlon in Berlin on a cloudy day, with pedestrians walking along the wide pavement in front. ",City Scale 
Berlin 12,Concrete Sea,"A grid of grey pillars stretches out like a frozen, geometric sea. The sharp angles of the concrete slabs stand in stark contrast to a lone, bare tree reaching for the sky. ",A wide view across the concrete stelae of the Memorial to the Murdered Jews of Europe in Berlin under an overcast sky. ,Slices of History 
Berlin 13,The Corridor ,"Stepping into the narrow pathways between the blocks. The concrete walls rise up on either side, closing out the city and narrowing the view to a single straight line ahead. ","Looking down a narrow, paved path between tall, grey concrete pillars at the Holocaust Memorial in Berlin. ",Slices of History 
Berlin 14,The Bunker Sign ,"An information board stands on a patch of scruffy grass and gravel, marking the spot where history ended in flames. Today, it is just a mundane car park surrounded by ordinary flat blocks. ","An information sign about the Führerbunker in Berlin, standing next to a gravel car park and residential buildings. ",Slices of History 
Berlin 15,Socialist Realism ,"Massive stone pillars frame a colourful mural of idealised workers marching forward. A heavy, imposing piece of propaganda left behind from an era that tried to choreograph the future. ","A socialist realist mural featuring marching figures, seen behind a row of large, grey stone columns in Berlin. ",Slices of History 
Berlin 16,The Green Trabant ,"A bright lime-green Trabant drives past a preserved section of the Berlin Wall. The tiny, smoky car of the East cruising past the very barrier that used to contain it. ",A vintage lime-green Trabant car driving along a wet street past a weathered stretch of the Berlin Wall. ,Berlin Hero Image
Berlin 17,The Soldier ,"A giant portrait of a young Soviet soldier looms high over Checkpoint Charlie, his steady gaze fixed on what used to be the American sector. The sky behind him is just beginning to clear. ","A large, elevated portrait sign of a Soviet soldier standing above a busy street near Checkpoint Charlie in Berlin. ",Slices of History 
Berlin 18,Charlie ,"The iconic white guardhouse at Checkpoint Charlie sits marooned in the middle of a quiet asphalt street, guarded by a neat stack of sandbags. A barrier that once divided worlds, now reduced to a tourist photo stop. ","The historical Checkpoint Charlie guardhouse with sandbags in Berlin, situated on an open city street.",Slices of History 
Berlin 19,The Brain House ,"A massive surrealist mural wrapping around a block of flats. A giant brain floats like a hot air balloon over a painted desert, while actual street graffiti takes over the pavement level. ","A large, colourful mural featuring a floating brain design on the side of an apartment building next to a city street. ",Street Level 
Berlin 20,Faces of Berlin ,"Dozens of giant, black-and-white portraits pasted directly onto the building facade. Some have peeled away to reveal the brickwork beneath, giving the architecture a very human look. ","A building exterior covered in large, black-and-white photographic close-ups of smiling faces on posters. ",Street Level 
Berlin 21,Mobile Home ,"Spotted this tiny wooden pod sitting perfectly on the back of a flatbed truck. A complete miniature room with its own window, parked casually at the side of a busy city street. ",A small green wooden cabin structure built onto the back of a white flatbed truck parked on a street. ,Street Level 
Berlin 22,Table Light ,A simple white candle burning steadily in a brass holder. Escaping the grey drizzle outside for a quiet corner in a dark tavern. ,A close-up of a single lit white candle in a brass holder on a wooden table inside a dimly lit restaurant. ,The Routine 
Berlin 23,Tavern 1840 ,Sitting at the counter under a ring of glowing globe lights. The back bar is stacked with traditional German beer signs and rows of bottles under a classic brick archway. ,"The interior bar counter of Restaurant 1840 in Berlin, featuring rows of liquor bottles, beer tap signs, and overhead globe lighting. ",The Routine 
Berlin 24,The Obelisk ,"A towering concrete monument cuts straight into the overcast sky at Sachsenhausen. At its base, three bronze figures stand in quiet solidarity, a sombre focal point at the end of a long stone path. ","A tall concrete obelisk monument with red triangles at a memorial site, viewed from a stone path on a cloudy day. ",Slices of History 
Berlin 25,Iron Gates ,"Looking through the cold iron lettering of the camp gate. The words frame a view across the bleak, open assembly ground toward the distant memorial tower. ","A view through an open iron gate displaying the words ""ARBEIT MACHT FREI"" looking onto a wide, empty camp ground. ",Slices of History 
Berlin 26,Kulturbrauerei Courtyard ,"An open courtyard enclosed by striking red-brick buildings. The industrial architecture of the old brewery has found a second life, covered in creeping vines, posters, and a black spiral staircase. ",A cobbled courtyard in Berlin surrounded by historic red-brick brewery buildings under a grey sky. ,Street Level 
Berlin 27,World Clock ,"The massive metal structure of the World Clock spinning quietly under the night sky at Alexanderplatz. Lit up in warm amber tones, it charts a hundred different journeys simultaneously. ","The illuminated World Clock at Alexanderplatz in Berlin at night, with a metal planetary model on top. ",City Scale 
Berlin 28,Fresh Rolls ,"Taking a break from the history walks with a plate of fresh summer rolls. Translucent rice paper tightly wrapping bright prawns, avocado, and crisp greens, served alongside a rich dipping sauce. ",A plate of fresh summer rolls containing prawns and vegetables on a table inside a restaurant next to a candle. ,The Routine 
Berlin 29,Brunch Bowls ,"Fuelling up with thick-cut dark toast topped with smashed avocado, perfectly poached eggs, and a scatter of shredded nori. Accompanied by a rich, vibrant tomato soup. ","A plate featuring poached eggs on avocado toast with nori, served next to a bowl of tomato soup. ",The Routine 
Berlin 30,Sweet Side ,Plump croissants dusted with icing sugar alongside a colourful pile of fresh fruit and whipped cream. A sweet contrast to the grey morning outside. ,"A breakfast plate with icing-sugar dusted croissants, fresh cut fruit, cream, and a small pot of syrup. ",The Routine 
Berlin 31,The Playwright ,The bronze statue of Bertolt Brecht sits in contemplation outside the Berliner Ensemble theatre. An enduring artistic presence watching the modern city pass by. ,A bronze statue of a seated man on a stone plaza in front of the Berliner Ensemble building. ,City Scale 
Berlin 32,Panda Nap ,"A giant panda completely fast asleep on a wooden platform at the zoo. Behind the bare branches, a traditional red and green pagoda frames the lazy afternoon. ",A giant panda resting on an elevated wooden structure with a red pagoda in the background. ,City Scale 
Berlin 33,The Giants ,"An Asian elephant with impressive tusks navigating the sandy enclosure on a cool, overcast day. A bit of the wild anchored right in the heart of the city. ",An elephant with large tusks walking through a zoo enclosure under bare winter trees. ,City Scale 
Berlin 34,Fraternal ,"The East Side Gallery after dark. Vrubel's iconic mural stands stark against the pavement, a painted relic of a divided history frozen under the street lights. ","The famous ""Fraternal Kiss"" mural painted on a remaining section of the Berlin Wall at night. ",Slices of History 
Berlin 35,Reflections on the Spree ,The river becomes a dark mirror for the city lights and a solitary construction crane. Quiet waterfront blocks sitting still under a heavy night sky. ,"A night-time view across the Spree River in Berlin, with city lights reflecting on the calm water surface. ",City Scale 
Berlin 36,The Sushi Platter ,"An evening break from the historical walks. A massive spread of rolls beautifully arranged across a raw wooden board, paired with fresh mint cocktails. ",A large variety of sushi rolls presented on a rustic wooden board next to two iced cocktails. ,The Routine 
Berlin 37,River Walk ,"Bare winter branches slicing across a crisp, bright blue sky. Following the iron railing along the riverbank as the glass dome of the Reichstag peeks out in the distance. ","A riverside path in Berlin with a black metal fence, looking towards the Reichstag dome under a clear blue sky. ",City Scale 
Berlin 38,To the German People ,Looking straight up at the imposing stone pillars of the Reichstag. The monumental inscription catches the brilliant afternoon sun against a completely unblemished sky. ,A low-angle shot of the grand classical columns and inscribed facade of the Reichstag building in Berlin. ,Slices of History 
Berlin 39,Misty City View ,"Looking out over the rooftops from a high perch. The Brandenburg Gate sits quietly below, shrouded in a thin layer of morning haze under the pale blue sky. ",A high-angle view over Berlin rooftops towards the Brandenburg Gate on a hazy day. ,City Scale 
Berlin 40,X Marks the Spot ,"Jet trails crossing perfectly in front of the bright afternoon sun. A sharp, geometric interception sketched right above the city skyline. ",Two white aeroplane contrails forming a large cross in the bright sky above the Berlin skyline. ,City Scale 
Berlin 41,The Dome ,The massive glass curve of the Reichstag dome slicing through the crisp air. Modern transparency stitched right onto the old stone architecture. ,The exterior glass and steel dome of the Reichstag building under a bright blue sky. ,Slices of History 
Berlin 42,Mirrored ,"Inside the glass funnel, looking up at a dizzying spiral of mirrors and walkways. Light bounces off every angle, catching the movements of visitors tracking up the ramps. ",Looking up at the central spiral mirrored pillar and helical ramps inside the Reichstag dome. ,Slices of History 
