filename,title,description,altText,category
Lisbon 1,Sunlit Rooftop Views ,Soaking in the warm terracotta rooftops and intricate stonework under a bright blue Lisbon sky. ,Intricate stone building facade in Lisbon with red-tiled rooftops and pastel-coloured houses rolling into the background. ,Cobbled Wanders & Street Gems 
Lisbon 2,Lisbon's Wavy Rhythm ,Chilling by the grand fountain where classic cobbled waves lead straight into the city's lively heart. ,"Broad city square in Lisbon featuring a dark bronze fountain, tall monument column, and distinctive black-and-white wave-patterned cobblestone pavement. ",Golden Hours & City Vistas 
Lisbon 3,Riding the Rails ,Catching a cosy front-row seat on Lisbon's iconic tram as it slowly winds through narrow sunny streets. ,View from inside a historic Lisbon tram showing the driver's perspective heading down a narrow cobblestone street lined with buildings. ,Tram Life & Transit Magic 
Lisbon 4,Vintage Tram Vibes ,"Classic yellow trams rolling past vibrant red buildings, adding that unmistakable retro charm to the city. ",Vintage yellow and white street tram stopped at a glass shelter in front of a bold red European-style building. ,Tram Life & Transit Magic 
Lisbon 5,Alfama Horizon Dreams ,Sweeping views over coastal rooftops and white church spires where the city meets the calm blue waters. ,High-angle panoramic view of Lisbon's Alfama district featuring white buildings with red-tiled roofs leading towards the river bank. ,Golden Hours & City Vistas 
Lisbon 6,Rustic Doorway Love ,Lush potted greenery and sweet street art creating the ultimate bohemian welcome in Lisbon. ,"Dark green wooden door surrounded by potted ferns, climbing vines, and a spray-painted heart on a sun-dappled white wall. ",Cobbled Wanders & Street Gems 
Lisbon 7,Cobbled Backstreet Wanders ,"Getting blissfully lost along quiet, historic alleyways steeped in old-world Portuguese charm. ","Narrow, uphill cobblestone street lined with weathered, rustic buildings leading toward an ancient stone archway under a blue sky. ",Cobbled Wanders & Street Gems 
Lisbon 8,Local Art Haven ,Uncovering hidden creative gems behind vibrant turquoise doors nestled in the city's rustic corners. ,"Bright turquoise wooden door of a studio gallery set in a rustic brick and plaster wall, accompanied by a chalkboard sign saying ""Support Local Art"". ",Cobbled Wanders & Street Gems 
Lisbon 9,Framed City Vistas ,Peer through ancient stone arches for a breathtaking look over Lisbon's endless sea of terracotta roofs. ,View through a pointed stone window frame looking out over colourful cityscape buildings and red roofs under a blue sky. ,Golden Hours & City Vistas 
Lisbon 10,Feathered Local Royalty ,Stumbling upon majestic peacocks showing off their vibrant plumage near historic stone courtyards. ,"Two peacocks displaying their full, colorful tail feathers on a stone patio alongside a rustic stone wall.
",Local Flavours & Feathered Friends 
Lisbon 11,Rooftop Feathers & Sunshine ,"Local peacocks perching high above the streets, effortlessly soaking up the sunny Lisbon vibes. ",Three peacocks perched atop a high metal fence in front of a yellow and white Portuguese building under a clear blue sky. ,Local Flavours & Feathered Friends 
Lisbon 12,Eclectic Street Character ,"Quirky alleyway details packed with colourful stickers, rustic textures, and creative local spirit. ",A white door and stone wall adorned with a sticker-covered street sign reading Rua do Espírito Santo and colourful wooden accents. ,Cobbled Wanders & Street Gems 
Lisbon 13,Alfresco Sundowner Sipping ,Unwinding at a cosy pavement café with cold beers and warm afternoon sunshine. ,"Two glasses of beer on a chequered tablecloth at an outdoor café table, with a potted green plant and patio dining in the background. ",Local Flavours & Feathered Friends 
Lisbon 14,Golden Hour Glow ,Catching magic over the river as the setting sun paints the skyline in dazzling gold. ,"Bright golden sunset over a wide river, casting brilliant light across the water towards a distant suspension bridge and monument silhouette. ",Golden Hours & City Vistas 
Lisbon 15,Riverfront Sunset Moments ,Pausing along the sandy shoreline to watch gentle waves crash under a breathtaking evening sky. ,Panoramic view of a sandy river beach at sunset in Lisbon with historic square buildings along the waterfront under soft clouds. ,Local Flavours & Feathered Friends 
Lisbon 16,Golden Plaza Dusk ,Soaking in the warm twilight skies and grand historic silhouettes across Lisbon's open square. ,Grand square in Lisbon at sunset with a bronze equestrian statue on a high pedestal set against a fiery yellow sky. ,Golden Hours & City Vistas 
Lisbon 17,Fresh Local Feast ,"Indulging in simple, delicious grilled sardines and boiled potatoes for an authentic taste of Portugal. ",Plate of grilled sardines served with boiled potatoes and a side salad on a restaurant table. ,Hero Image
Lisbon 18,Nighttime Funicular Magic ,Watching glowing yellow funiculars climb cobbled hills as streetlamps light up the night. ,Illuminated yellow funicular tram stopped on a steep cobbled hill at night next to a glowing streetlamp. ,Tram Life & Transit Magic 
Lisbon 19,Intricate Brass Knocker Details ,Spotting charming antique details hidden away on old wooden doors throughout the city. ,Pair of ornate hand-shaped brass door knockers attached to a dark green painted wooden door. ,Cobbled Wanders & Street Gems 
