filename,title,description,altText,category,location
Czech 1,Looking Up in Prague,"Stumbling upon David ?erný's whimsical ""Hanging Man"" sculpture suspended high above a quiet street corner.","A bronze sculpture of a man in a suit holding a briefcase and hanging by one hand from a red umbrella, suspended high above a street corner next to a historic building in Prague.",Prague,
Czech 2,Morning Light over Old Town Square,Pausing to admire the ornate Baroque facades and towering monuments that guard Prague's historic heart.,"A view of Prague's Old Town Square showing the historic bronze Jan Hus Memorial statue in the foreground, flanked by ornate, colourful historic buildings with red roofs under a bright blue sky.",Prague,
Czech 3,Tracking Time in Old Prague,"Getting lost in the intricate blue, gold, and stone details of the medieval Astronomical Clock.","Extreme close-up of the medieval Prague Astronomical Clock showing its detailed blue and gold astronomical dial, the calendar dial below it, and decorative gothic sculptures on the stone tower.",Prague,
Czech 4,A Pastel Palette in the City,"Walking past a beautiful, sunlit row of historic Prague homes, each painted in its own soft, classic hue.","A row of colourful historic buildings in Prague with pastel facades in yellow, green, grey, and red, featuring traditional windows and steep roofs against a deep blue sky. Hero for Prague page.",Prague,
Czech 5,Silent Tunnels,A contemplative moment staring down a deeply sobering archway woven entirely from history at the Sedlec Ossuary.,"A dark stone archway tightly lined and framed entirely by hundreds of stacked human skulls and bones, with four distinct skulls sitting on a wooden ledge in the foreground.",Kutná Hoar,
Czech 6,Whispers of the Past,"An intimate look at the hauntingly beautiful, intricate bone structures that fill the Sedlec Ossuary.","A close-up, low-angle shot inside the Sedlec Ossuary showing a pillar stacked with human skulls and crossbones, with a large, ornate bone chandelier hanging in the background.",Kutná Hoar,
Czech 7,Spires and Skulls,"Looking up at the striking Gothic exterior of the Bone Church, where historic architecture meets solemn symbolism.","The stone facade and towers of the Sedlec Ossuary chapel against a blue sky, featuring prominent gold skull-and-crossbones emblems atop the spires and a statue of the Virgin Mary.",Kutná Hoar,
Czech 8,A Splash of Yellow,"Capturing the ornate details of an antique clock mounted on a vibrant, sun-drenched facade in Prague.","An intricate black wrought-iron clock with gold accents and decorative script hanging from the corner of a bright yellow historic building adorned with flower boxes.",Prague,
Czech 9,Melodies in the Courtyard,Stopping to listen as street musicians fill the courtyard of Prague's historic U Flek? beer garden with live sound.,"Musicians performing in the tree-shaded courtyard of the U Flek? brewery beer garden in Prague, with historic buildings and outdoor seating in the background.",Prague,
Czech 10,Tracks and Taps,Watching model trains deliver pints along the bar at Výtopna - a railway-themed restaurant where dinner arrives on tiny tracks.,"A model train carrying small glasses of beer along miniature railway tracks built into the wooden bar counter at the Výtopna Railway Restaurant in Prague.",Prague,
Czech 11,All Aboard for Dinner,"Following the miniature railway as it winds through tables at Výtopna - part meal, part spectacle.","A perspective view along the model train tracks running through the interior of the Výtopna Railway Restaurant in Prague, with tables and diners alongside the rails.",Prague,
Czech 12,Gothic Dreams,Looking up at the twin Gothic spires of the Church of Our Lady before Týn rising above Old Town Square.,"The dark Gothic twin spires and ornate facade of the Church of Our Lady before Týn dominating the skyline above colourful historic rooftops in Prague's Old Town.",Prague,
Czech 13,A Cobblestone Florist,Pausing at a rustic florist's shop where flowers spill from a weathered green facade onto the cobblestones.,"A charming rustic florist storefront with a green-painted facade, flower boxes, and bouquets displayed outside on a cobblestone street in Prague.",Prague,
Czech 14,Chasing the Red Trams,Catching a vintage red and cream tram as it rattles over Prague's cobblestone streets.,"A classic red and cream Prague tram turning along a cobblestone street lined with historic buildings and overhead wires.",Prague,
Czech 15,Reaching for the Sky,A low-angle view of the Old Town Hall tower stretching upward against a bright Czech sky.,"A dramatic low-angle shot looking up the ornate Gothic tower of Prague's Old Town Hall against a vivid blue sky.",Prague,
Czech 16,Overlooking Prachov Rocks,Standing above the sandstone labyrinth of Prachov Rocks in the Bohemian Paradise - where prehistoric stone giants rise from the forest.,"A wide panoramic view from a rocky overlook across the dramatic sandstone rock formations and dense green forest of Prachov Rocks in the Bohemian Paradise. Hero for Czech page.","Nature & Wilderness",
Czech 17,Giants of the Bohemian Paradise,Getting closer to the vertical sandstone pillars that define this protected landscape north of Prague.,"Tall, weathered sandstone rock pillars and needles rising from a forested hillside in the Bohemian Paradise near Prachov Rocks.","Nature & Wilderness",
Czech 18,Navigating the Needle's Eye,Squeezing through a narrow canyon path carved between towering rock walls at Prachov.,"A narrow dirt hiking path winding through a tight rock canyon between massive vertical sandstone cliffs at Prachov Rocks.","Nature & Wilderness",
Czech 19,Shaded Trails of Prachov,"Following quiet, mossy paths that snake beneath the shadows of prehistoric stone giants.","A dirt hiking trail winding through a peaceful forest clearing at the base of massive, vertical sandstone cliffs and tall trees at Prachov Rocks. Hero for Wilderness page.","Nature & Wilderness",
Czech 20,Steps Hidden in Stone,"Climbing a narrow stone staircase cut into the rock - part trail, part geological puzzle.","A steep narrow stone staircase carved into and between natural sandstone rock walls inside a gorge at Prachov Rocks.","Nature & Wilderness",
Czech 21,Reaching Pillars,Looking up at sandstone needles that seem to lean toward the sky above the treeline.,"Tall, slender sandstone rock pillars and pinnacles rising above a pine forest against a bright blue sky at Prachov Rocks.","Nature & Wilderness",
Czech 22,The Labyrinth from Above,A panoramic view across the maze of sandstone pinnacles scattered through the Bohemian forest.,"An elevated panoramic view over a dense forest interspersed with dramatic clusters of sandstone rock formations and pinnacles in the Bohemian Paradise.","Nature & Wilderness",
Czech 23,Green Horizons,Surveying an endless canopy of Bohemian forest stretching to the horizon.,"A wide vista across a vast expanse of dense green forest canopy under a soft overcast sky in the Czech countryside.","Nature & Wilderness",
Czech 24,Framed by Nature,Sunlit cliffs glimpsed through a natural window of green branches.,"Sandstone cliffs and rock faces seen through a frame of green tree branches and foliage in a Bohemian forest.","Nature & Wilderness",
Czech 25,Between Giant Walls,Walking a narrow chasm where two massive rock walls lean close enough to feel the scale.,"A narrow hiking path through a deep rock chasm between two towering vertical sandstone walls at Prachov Rocks.","Nature & Wilderness",
Czech 26,Finding Scale in the Forest,Standing small beside a cliff face that towers over the pines.,"A massive textured sandstone cliff face rising above tall pine trees in a Bohemian forest, emphasizing the scale of the rock formations.","Nature & Wilderness",
Czech 27,Nature's Window,Peering out from the darkness of a rock shelter toward sunlit forest beyond.,"A view from inside a dark natural rock cave or overhang looking out through an opening at sunlit green forest and cliffs beyond.","Nature & Wilderness",
Czech 28,Forest Floor Details,"Noticing the small world at our feet - moss, ferns, and wild mushrooms on the forest floor.","A close-up of a mossy forest floor with ferns, fallen leaves, and small wild mushrooms growing among the undergrowth.","Nature & Wilderness",
Czech 29,Looking to the Canopy,Tilting upward along a thick tree trunk toward the canopy above.,"A low-angle view looking straight up a thick tree trunk into the green canopy of a Bohemian forest.","Nature & Wilderness",
Czech 30,Edge of the Forest,Peering down from a rocky cliff edge where forest meets open sky.,"A high-angle view looking down from a rocky cliff edge over a dense green forest canopy below.","Nature & Wilderness",
Czech 31,Stone Sentinels,Sandstone formations standing like sentinels above the treeline.,"Dramatic sandstone rock formations and pillars rising above a dense forest canopy in the Bohemian Paradise.","Nature & Wilderness",
Czech 32,Hidden Wonders,Spotting bright yellow wild mushrooms among the moss - small discoveries on the trail.,"A close-up of small bright yellow wild mushrooms growing on a mossy log or forest floor in a Bohemian woodland.","Nature & Wilderness",
Czech 33,Framing the Wild at Adršpach,Viewing the Adršpach-Teplice rock city from a natural stone shelter.,"A vista of the dramatic sandstone rock formations of Adršpach-Teplice Rocks seen from inside a natural rock shelter or cave opening.","Nature & Wilderness",
Czech 34,The Labyrinth of Adršpach,Climbing stone steps wedged between towering rock faces in Adršpach's famous gorge.,"A narrow stone staircase wedged between massive vertical sandstone rock walls in the Adršpach-Teplice rock labyrinth.","Nature & Wilderness",
Czech 35,The Rails to Adršpach,Watching a regional train carry us toward the rock city - red carriages against a Bohemian village backdrop.,"A red and cream Czech regional train passing through a small village with hills and forest in the background on the route toward Adršpach.","Nature & Wilderness",
