filename,title,description,altText,location,category,Sub-category
Austria 1,Alpine Serenity ,Traditional wooden chalets nestled on a green hillside beneath a dense pine forest and a dramatic limestone mountain peak. ,"A row of traditional wooden alpine cabins on a green grassy hill with a dense pine forest and a rugged, rocky mountain face in the background under a cloudy sky. ",,The Wider Country ,Krimml Waterfalls 
Austria 2,Fresh Curry Prep ,"Prepping a vibrant mix of authentic, aromatic ingredients-including Thai eggplants, lemongrass, and fiery fresh green peppercorns-for a comforting local culinary experience. ","An overhead shot of chopped cooking ingredients on a wooden board, including round sliced purple eggplants, diced shallots, lemongrass stalks, dried lime leaves, and small green peppercorns. ",,The Wider Country ,Krimml Waterfalls 
Austria 3,Deep in the Alpine Woods ,"Stepping into the enchanting, moss-covered alpine forests, where towering pine trees and lush green ferns create a serene, fairytale-like escape perfect for a morning hike. ","A dense forest filled with tall, straight pine tree trunks covered in patches of moss, with a vibrant green undergrowth of ferns and wild plants carpeting the hillside. ",,The Wider Country ,Alpine Wilderness 
Austria 4,Enchanted Woodland Trails ,"Getting lost in the details of the backcountry, where thick layers of vibrant green moss drape over ancient branches to create an atmospheric, fairytale canopy. ","A close-up view through a dense forest of pine trees, with thick green moss heavily coating the horizontal branches and tree trunks in the foreground. ",,The Wider Country ,Krimml Waterfalls 
Austria 5,First Glimpse of Krimml ,"Catching our very first peek of Europe's highest waterfall, thundering dramatically through a dense frame of towering alpine pines. ","A distant waterfall rushing over gray rocks, framed on both sides by tall, green evergreen trees in a dense forest. ",,The Wider Country ,Krimml Waterfalls 
Austria 6,The Power of the Alps ,"Feeling incredibly small standing right beside the massive, roaring cascades of Krimml as they plummet down mossy rock faces into the valley. ","A large, powerful waterfall cascading down a steep rocky cliff covered in green moss, partially framed by pine tree branches. ",,The Wider Country ,Krimml Waterfalls 
Austria 7,High-Angle Wonders ,"Looking down from the rocky forest trails at the sheer, unbridled force of the glacial river carving its path through Hohe Tauern National Park. ","A high-angle view of a large waterfall plunging down a rocky cliff next to a winding river, with a green valley and dense pine forest in the background.",,The Wider Country ,Krimml Waterfalls 
Austria 8,Glacial Mist ,"Getting close enough to the crashing torrents to capture the legendary, crisp mountain spray that fills the entire forest air. ","A close-up shot of rushing white water creating thick mist as it crashes against dark, wet rocks covered in vibrant green foliage. ",,The Wider Country ,Krimml Waterfalls 
Austria 9,Forest Floor Treasures ,"Discovering clusters of wild mushrooms popping up through thick, vibrant moss beds along the humid hiking trails. ","A wide macro shot of numerous small brown mushrooms growing out of a lush, bright green mossy log interspersed with green ferns. ",,The Wider Country ,Alpine Wilderness 
Austria 10,Miniature Worlds ,"Getting low to the ground to capture the magical, fairytale details hidden right on the side of the ancient woodland trees. ","A close-up, shallow depth-of-field shot focusing on brown mushrooms growing vertically out of a moss-covered tree trunk, with soft green ferns blurred in the background. ",,The Wider Country ,Alpine Wilderness 
Austria 11,Framed by Nature ,"Peer through a natural window of towering evergreens to witness the dramatic, roaring drop of the Krimml Waterfalls. ","A vertical view of a powerful white waterfall cascading over rocks, framed symmetrically by dense, tall green pine trees in a mountain forest. ",,The Wider Country ,Krimml Waterfalls 
Austria 12,Peak Through the Pines ,"The sheer scale of Europe's highest waterfall reveals itself beautifully when framed by the mossy, ancient branches of the forest. ","A vertical shot looking through a gap in moss-covered tree trunks and green pines at a steep, misty waterfall rushing down a rocky mountain slope. ",,The Wider Country ,Krimml Waterfalls 
Austria 13,Thunderous Drops ,"Watching the middle tier of Krimml common-room giant plunge down rugged rock walls, surrounded by resilient pines that thrive in the permanent mountain mist. ","A powerful waterfall rushing down a steep, mossy cliff face with evergreen pine trees framing the foreground and top of the image. ",,The Wider Country ,Krimml Waterfalls 
Austria 14,Glacial Turquoise ,"Following the roaring, icy waters as they rush past moss-covered banks, showcasing the stunning contrast of white foam and deep turquoise currents. ","A two-tiered waterfall system rushing through a dense pine forest, with a lower cascade dropping into vibrant turquoise rapids surrounded by bright green, mossy rocks. ",,The Wider Country ,Krimml Waterfalls 
Austria 15,Alpine Flora ,"Spotting unique, towering wild plants blooming along the humid forest tracks fed by the continuous spray of the nearby falls.","A close-up vertical shot of a tall, thick-stemmed wild plant with large green seed pods and a cluster of delicate white flowers, set against a dense background of pine branches. ",,The Wider Country ,Alpine Wilderness 
Austria 16,The Hills Are Alive ,"Standing at the start of the iconic trail in Werfen, where the vibrant green alpine meadows open up to breathtaking mountain vistas and distant fortresses. ","A wooden gate and fence on a bright green hillside field with a sign that reads ""The Sound of Music Trail Werfen"", under a cloudy mountain backdrop. ",,Salzburg ,Sound of Music Trail 
Austria 17,Fairytale Fortresses ,"Spotting Hohenwerfen Castle peeking perfectly over the dense pine forest canopy, just like the cinematic backdrop from the famous picnic scene. ","A distant white medieval castle nestled on a hillside, emerging from behind a thick, dense line of tall green pine trees. ",,Salzburg ,Sound of Music Trail 
Austria 18,Sixteen Going on Seventeen ,"Visiting the historic glass gazebo at Hellbrunn Palace, a dreamy stop for any classic movie fan wanting to walk in the footsteps of the Von Trapp children. ","A white, glass-paned octagonal gazebo sitting in a shaded park area under large trees next to a light yellow wall. ",,Salzburg ,Sound of Music Trail 
Austria 19,Historic Yellow Palaces ,"Admiring the striking Baroque facade and elegant grand staircases of Hellbrunn Palace, a location steeped in Salzburg's rich history and cinematic charm. ","A symmetrical front view of a grand, bright yellow Baroque palace with a grey shingled roof, green shutters, and a central double staircase. ",,Salzburg ,Old Town Architecture & Landmarks 
Austria 20,Solar Timekeeping ,"Admiring a beautifully detailed, sun-drenched fresco sundial adorning a vibrant yellow facade in the historic palace grounds. ","A close-up shot of a decorative, fan-shaped sundial painted on a bright yellow building gable under a clear blue sky. ",,Salzburg ,Old Town Architecture & Landmarks 
Austria 21,Honoring a Master ,Pausing at Mozartplatz to take in the historic monument dedicated to Salzburg's most famous musical son.,A tall green bronze statue of Wolfgang Amadeus Mozart standing on a stone pedestal in front of classic European apartment buildings. ,,Salzburg ,Old Town Architecture & Landmarks 
Austria 22,Residenzplatz Grandeur ,"Watching the powerful fountains dance in the main square, framed by the towering domes of the Salzburg Cathedral. ","A large, ornate stone fountain featuring carved horses and figures spraying water, with historic building facades and cathedral domes in the background. ",,Salzburg ,Old Town Architecture & Landmarks 
Austria 23,Hidden Courtyard Details ,"Stumbling upon a beautifully patterned geometric star door tucked away in a quiet, rustic stone alleyway. ","A rustic stone wall with a dark green arched doorway featuring a prominent red, white, and brown geometric star pattern. ",,Salzburg ,Old Town Architecture & Landmarks 
Austria 24,Salzburg's Skyline ,Looking out over a sea of grey rooftops and elegant turquoise spires that define this stunning UNESCO World Heritage cityscape. ,"A high-angle panoramic view of Salzburg's old town, showcasing multiple churches with distinct green copper domes and spires under a bright sky. ",,Salzburg ,Old Town Architecture & Landmarks 
Austria 25,Backcountry Beetles ,"Keeping an eye out for the smaller locals-like this stunning, iridescent musk beetle showing off its massive antennae on a sunny afternoon rest stop. ","A close-up shot of a dark green, metallic longhorn beetle with exceptionally long antennae crawling on a blue surface next to an ornate, patterned metal tabletop. ",,The Wider Country ,Alpine Wilderness 
Austria 26,St. Peter's Sanctuary ,"Wandering through the peaceful, flower-filled grounds of Salzburg's oldest cemetery, nestled right against the sheer rock face of the Mönchsberg. ","A historic courtyard cemetery featuring ornate iron crosses, stone tombstones, lush green grass, and bright pink flowers, situated next to a weathered stone church wall. ",,Salzburg ,St. Peter's Cemetery & Catacombs 
